Sheathing Material,Minimum Nominal Panel Thickness,Minimum Nail Bearing Length in Framing Member or Blocking,Nail Type and Size,Panel Edge Nail Spacing,Panel Type,Unit Shear,Apparent Shear Stiffness Value
Particleboard Sheathing,0.50000,0.000,8d common,3,PLY,755.0,22
Particleboard Sheathing,0.50000,0.000,10d common,3,PLY,1010.0,24
Particleboard Sheathing,0.62500,0.000,10d common,3,PLY,1105.0,24
Structural Fiberboard Sheathing,0.50000,0.000,11 gauge galvanized roofing,3,PLY,645.0,5
Structural Fiberboard Sheathing,0.78125,0.000,11 gauge galvanized roofing,3,PLY,645.0,5
Wood Structural Panels - Structural I,0.31250,1.250,6d common,2,OSB,1430.0,35
Wood Structural Panels - Structural I,0.37500,1.375,8d common,2,OSB,1710.0,43
Wood Structural Panels - Structural I,0.43750,1.375,8d common,2,OSB,1875.0,40
Wood Structural Panels - Structural I,0.46875,1.375,8d common,2,OSB,2045.0,37
Wood Structural Panels - Structural I,0.46875,1.500,10d common,2,OSB,2435.0,51
Wood Structural Panels - Sheathing,0.31250,1.250,6d common,2,OSB,1260.0,37
Wood Structural Panels - Sheathing,0.37500,1.250,6d common,2,OSB,1430.0,32
Wood Structural Panels - Sheathing,0.37500,1.375,8d common,2,OSB,1485.0,45
Wood Structural Panels - Sheathing,0.43750,1.375,8d common,2,OSB,1640.0,42
Wood Structural Panels - Sheathing,0.46875,1.375,8d common,2,OSB,1790.0,39
Wood Structural Panels - Sheathing,0.46875,1.500,10d common,2,OSB,2155.0,52
Wood Structural Panels - Sheathing,0.59375,1.500,10d common,2,OSB,2435.0,48
Plywood Siding,0.31250,1.250,6d galvanized casing,2,OSB,1010.0,0
Plywood Siding,0.37500,1.375,8d galvanized casing,2,OSB,1150.0,0
Particleboard Sheathing,0.37500,0.000,6d common,2,OSB,840.0,0
Particleboard Sheathing,0.37500,0.000,8d common,2,OSB,880.0,0
Particleboard Sheathing,0.50000,0.000,8d common,2,OSB,980.0,0
Particleboard Sheathing,0.50000,0.000,10d common,2,OSB,1290.0,0
Particleboard Sheathing,0.62500,0.000,10d common,2,OSB,1455.0,0
Structural Fiberboard Sheathing,0.50000,0.000,11 gauge galvanized roofing,2,OSB,730.0,0
Structural Fiberboard Sheathing,0.78125,0.000,11 gauge galvanized roofing,2,OSB,730.0,0
Wood Structural Panels - Structural I,0.31250,1.250,6d common,2,PLY,1430.0,22
Wood Structural Panels - Structural I,0.37500,1.375,8d common,2,PLY,1710.0,24
Wood Structural Panels - Structural I,0.43750,1.375,8d common,2,PLY,1875.0,24
Wood Structural Panels - Structural I,0.46875,1.375,8d common,2,PLY,2045.0,23
Wood Structural Panels - Structural I,0.46875,1.500,10d common,2,PLY,2435.0,28
Wood Structural Panels - Sheathing,0.31250,1.250,6d common,2,PLY,1260.0,18
Wood Structural Panels - Sheathing,0.37500,1.250,6d common,2,PLY,1430.0,17
Wood Structural Panels - Sheathing,0.37500,1.375,8d common,2,PLY,1485.0,20
Wood Structural Panels - Sheathing,0.43750,1.375,8d common,2,PLY,1640.0,21
Wood Structural Panels - Sheathing,0.46875,1.375,8d common,2,PLY,1790.0,20
Wood Structural Panels - Sheathing,0.46875,1.500,10d common,2,PLY,2155.0,23
Wood Structural Panels - Sheathing,0.59375,1.500,10d common,2,PLY,2435.0,22
Plywood Siding,0.31250,1.250,6d galvanized casing,2,PLY,1010.0,21
Plywood Siding,0.37500,1.375,8d galvanized casing,2,PLY,1150.0,22
Particleboard Sheathing,0.37500,0.000,6d common,2,PLY,840.0,22
Particleboard Sheathing,0.37500,0.000,8d common,2,PLY,880.0,23
Particleboard Sheathing,0.50000,0.000,8d common,2,PLY,980.0,24
Particleboard Sheathing,0.50000,0.000,10d common,2,PLY,1290.0,25
Particleboard Sheathing,0.62500,0.000,10d common,2,PLY,1455.0,26
Structural Fiberboard Sheathing,0.50000,0.000,11 gauge galvanized roofing,2,PLY,730.0,5.5
Structural Fiberboard Sheathing,0.78125,0.000,11 gauge galvanized roofing,2,PLY,730.0,5.5
